image,id,choice,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/3/914d7e3d-298.jpg,1133,"{""choices"": [""human"", ""male"", ""young"", ""happy"", ""Excite"", ""front"", ""naver1""]}",1,1133,2022-09-08T00:57:41.049291Z,2022-09-08T00:57:41.049437Z,20.609
/data/upload/3/8a532f31-694.png,1132,"{""choices"": [""human"", ""young"", ""Excite"", ""front""]}",1,1132,2022-09-08T00:39:40.916903Z,2022-09-08T00:39:40.917051Z,36.295
/data/upload/3/bfb192a6-167.png,168,"{""choices"": [""human"", ""male"", ""young"", ""middleAge"", ""bald"", ""sad"", ""front"", ""yahoo"", ""naver1""]}",1,168,2022-08-26T04:18:45.121475Z,2022-09-05T03:01:56.858542Z,28.522000000000002
/data/upload/3/1c9b7420-166.png,167,"{""choices"": [""human"", ""male"", ""middleAge"", ""mustache"", ""hat"", ""angry"", ""boring"", ""front"", ""left"", ""hearth""]}",1,167,2022-08-26T04:18:35.568232Z,2022-09-05T03:01:38.950996Z,33.494
/data/upload/3/001dbf58-165.png,166,"{""choices"": [""animal"", ""closedEye"", ""happy"", ""front"", ""left"", ""naver1""]}",1,166,2022-08-26T04:18:24.412630Z,2022-09-05T03:01:23.603372Z,28.787000000000003
/data/upload/3/169a5d56-164.png,165,"{""choices"": [""human"", ""male"", ""middleAge"", ""halfBald"", ""glasses"", ""is_sweat"", ""panic"", ""front"", ""left"", ""naver1""]}",1,165,2022-08-26T04:18:18.393247Z,2022-09-05T03:01:09.439381Z,48.494
/data/upload/3/f1f8c772-163.png,164,"{""choices"": [""human"", ""male"", ""young"", ""is_sweat"", ""panic"", ""front"", ""yahoo""]}",1,164,2022-08-26T04:18:07.292966Z,2022-09-05T03:00:52.188513Z,25.98
/data/upload/3/8f43a20f-161.png,162,"{""choices"": [""animal"", ""insect"", ""middleAge"", ""closedEye"", ""hat"", ""crying"", ""happy"", ""front"", ""left"", ""yahoo""]}",1,162,2022-08-26T04:17:17.983409Z,2022-09-05T03:00:25.922385Z,35.33
/data/upload/3/9df35e31-160.png,161,"{""choices"": [""human"", ""male"", ""middleAge"", ""glasses"", ""is_sweat"", ""front"", ""naver1""]}",1,161,2022-08-26T04:17:02.576478Z,2022-09-05T03:00:10.205642Z,29.32
/data/upload/3/1c2563b5-159.png,160,"{""choices"": [""human"", ""male"", ""young"", ""halfBald"", ""sad"", ""front"", ""left"", ""yahoo"", ""naver1""]}",1,160,2022-08-26T04:16:53.849691Z,2022-09-05T02:59:57.565099Z,28.058
/data/upload/3/d6d17fae-158.png,159,"{""choices"": [""human"", ""middleAge"", ""hat"", ""left"", ""cookierun""]}",1,159,2022-08-26T04:16:44.183163Z,2022-09-05T02:59:44.735486Z,15.092
/data/upload/3/fe5ccfa1-157.png,158,"{""choices"": [""human"", ""male"", ""middleAge"", ""hat"", ""behind"", ""left"", ""naver1""]}",1,158,2022-08-26T04:16:37.041610Z,2022-09-05T02:59:39.800453Z,25.000999999999998
/data/upload/3/afbb391a-156.png,157,"{""choices"": [""human"", ""male"", ""young"", ""bald"", ""crying"", ""happy"", ""front"", ""yahoo""]}",1,157,2022-08-26T04:16:30.184716Z,2022-09-05T02:59:32.305305Z,25.951999999999998
/data/upload/3/be468b23-154.png,155,"{""choices"": [""human"", ""male"", ""young"", ""hat"", ""happy"", ""right"", ""yahoo""]}",1,155,2022-08-26T04:16:10.146893Z,2022-09-05T02:59:13.793910Z,32.677
/data/upload/3/a8e00580-153.png,154,"{""choices"": [""human"", ""male"", ""middleAge"", ""mustache"", ""hat"", ""pain"", ""front"", ""left"", ""dunjeon""]}",1,154,2022-08-26T04:15:48.584573Z,2022-09-05T02:58:59.773391Z,36.385000000000005
/data/upload/3/d110b23a-152.png,153,"{""choices"": [""human"", ""male"", ""monster"", ""young"", ""sad"", ""left"", ""cookierun""]}",1,153,2022-08-26T04:15:35.972267Z,2022-09-05T02:58:47.036095Z,23.778
/data/upload/3/89cb92ec-151.png,152,"{""choices"": [""human"", ""male"", ""closedEye"", ""happy"", ""left"", ""yahoo""]}",1,152,2022-08-26T04:15:29.649944Z,2022-09-05T02:58:26.729545Z,32.509
/data/upload/3/ea3830e4-150.png,151,"{""choices"": [""human"", ""young"", ""muscle"", ""hat"", ""angry"", ""front"", ""left"", ""yahoo""]}",1,151,2022-08-26T04:15:22.309569Z,2022-09-05T02:58:12.273178Z,28.454
/data/upload/3/ed21cefd-149.png,150,"{""choices"": [""human"", ""male"", ""middleAge"", ""mustache"", ""hat"", ""Excite"", ""right"", ""dunjeon""]}",1,150,2022-08-26T04:15:12.638732Z,2022-09-05T02:58:01.171469Z,30.613999999999997
/data/upload/3/b0bc8009-148.png,149,"{""choices"": [""human"", ""male"", ""young"", ""is_sweat"", ""angry"", ""front"", ""right"", ""yahoo""]}",1,149,2022-08-26T04:14:59.953035Z,2022-09-05T02:57:48.763754Z,35.304
